molecule,smiles,HOMO_eV,LUMO_eV,GAP_eV,Dipmom_Debye,Etot_eV,Etot_pos_eV,Etot_neg_eV,ZPE_eV,ZPE_pos_eV,ZPE_neg_eV,aEA_eV,aIP_eV,D4_disp_corr_eV,n_rings,Erel_eV,NFOD,HOMO_eV_corrected,LUMO_eV_corrected,GAP_eV_corrected,aIP_eV_corrected,aEA_eV_corrected
hc_c42h22_0pent_2297,c1ccc2c(c1)ccc1cc3c(ccc4cc5c(cc6ccc7cc8cccc9ccc%10cc5c6c7c%10c98)cc43)cc12,-9.501,-8.003,1.498,0.088,-2755.365,-2744.42,-2761.921,13.166,13.143,13.094,-6.556,10.945,-2.59,11,0.236,1.108,-6.225,-1.555,4.656,6.203,-1.547
hc_c42h22_0pent_2299,c1ccc2c(c1)ccc1cc3ccc4cc5c(cc6ccc7cc8cccc9ccc%10cc5c6c7c%10c98)cc4c3cc12,-9.508,-8.002,1.506,0.062,-2755.356,-2744.373,-2761.879,13.166,13.136,13.088,-6.523,10.983,-2.595,11,0.245,1.106,-6.236,-1.554,4.668,6.257,-1.507
hc_c42h22_0pent_2306,c1ccc2cc3c(cc2c1)cc1c2cc4c(ccc5ccccc54)cc2c2cc4cccc5ccc6cc3c1c2c6c54,-9.568,-7.919,1.649,0.062,-2755.349,-2744.293,-2761.792,13.168,13.136,13.088,-6.444,11.056,-2.637,11,0.252,1.032,-6.329,-1.447,4.871,6.363,-1.411
hc_c42h22_0pent_2307,c1ccc2cc3c(cc2c1)cc1c2cc4ccc5ccccc5c4cc2c2cc4cccc5ccc6cc3c1c2c6c54,-9.569,-7.919,1.649,0.077,-2755.348,-2744.292,-2761.79,13.167,13.135,13.087,-6.442,11.057,-2.636,11,0.253,1.032,-6.331,-1.447,4.871,6.364,-1.408
hc_c42h22_0pent_2308,c1ccc2cc3c(cc2c1)cc1c2cc4ccccc4cc2c2cc4c5ccccc5cc5ccc6cc3c1c2c6c54,-9.513,-7.969,1.544,0.035,-2755.25,-2744.266,-2761.762,13.161,13.134,13.085,-6.512,10.984,-2.642,11,0.351,1.109,-6.244,-1.512,4.722,6.259,-1.493
hc_c42h22_0pent_2311,c1ccc2cc3c(cc2c1)c1cc2cc4ccc5ccccc5c4cc2c2cc4ccc5cccc6cc3c(c21)c4c56,-9.607,-7.872,1.734,0.063,-2755.359,-2744.255,-2761.744,13.168,13.132,13.083,-6.385,11.104,-2.635,11,0.242,1.005,-6.39,-1.387,4.992,6.432,-1.339
hc_c42h22_0pent_2319,c1ccc2c(c1)ccc1cc3cc4c5ccccc5c5cc6c7ccccc7cc7ccc8cc(c3cc12)c4c5c8c76,-9.514,-7.969,1.546,0.024,-2755.372,-2744.376,-2761.869,13.171,13.145,13.098,-6.497,10.997,-2.651,11,0.229,1.024,-6.245,-1.512,4.724,6.277,-1.475
hc_c42h22_0pent_2322,c1ccc2c(c1)ccc1cc3cc4c5ccccc5c5cc6cccc7c8ccccc8c8cc(c3cc12)c4c5c8c67,-9.622,-7.831,1.791,0.016,-2755.437,-2744.313,-2761.785,13.183,13.149,13.1,-6.349,11.123,-2.673,11,0.164,0.901,-6.413,-1.334,5.073,6.459,-1.295
hc_c42h22_0pent_2333,c1ccc2c(c1)ccc1cc3c(cc12)cc1c2ccccc2c2cc4c5ccccc5cc5ccc6cc3c1c2c6c54,-9.5,-7.978,1.522,0.046,-2755.386,-2744.424,-2761.913,13.172,13.148,13.102,-6.527,10.962,-2.647,11,0.215,1.026,-6.223,-1.523,4.69,6.227,-1.512
hc_c42h22_0pent_2340,c1ccc2cc3c(cc2c1)cc1ccc2cc4c5cc6c(ccc7ccccc76)cc5cc5ccc6cc3c1c2c6c54,-9.404,-8.109,1.296,0.02,-2755.222,-2744.364,-2761.883,13.158,13.14,13.091,-6.661,10.858,-2.603,11,0.379,1.24,-6.074,-1.692,4.369,6.077,-1.675
hc_c42h22_0pent_2341,c1ccc2cc3c(cc2c1)cc1ccc2cc4c5cc6ccc7ccccc7c6cc5cc5ccc6cc3c1c2c6c54,-9.392,-8.115,1.278,0.021,-2755.236,-2744.408,-2761.921,13.158,13.142,13.093,-6.685,10.828,-2.599,11,0.365,1.243,-6.055,-1.699,4.343,6.034,-1.704
hc_c42h22_0pent_2342,c1ccc2cc3c(cc2c1)cc1ccc2cc4c5cc6ccccc6cc5cc5c6ccccc6c6cc3c1c2c6c45,-9.425,-8.072,1.353,0.032,-2755.178,-2744.308,-2761.819,13.158,13.138,13.091,-6.641,10.869,-2.636,11,0.423,1.202,-6.107,-1.644,4.45,6.093,-1.65
hc_c42h22_0pent_2344,c1ccc2c(c1)ccc1cc3cc4ccc5cc6c7ccc8ccccc8c7cc7ccc8cc(c3cc12)c4c5c8c76,-9.456,-8.046,1.41,0.036,-2755.346,-2744.421,-2761.929,13.167,13.146,13.099,-6.583,10.925,-2.618,11,0.255,1.115,-6.155,-1.611,4.531,6.174,-1.58
hc_c42h22_0pent_2345,c1ccc2c(c1)ccc1cc3c(cc4ccc5cc6c7ccc8ccccc8c7cc7ccc8cc3c4c5c8c76)cc12,-9.441,-8.055,1.386,0.014,-2755.359,-2744.47,-2761.972,13.168,13.148,13.102,-6.613,10.889,-2.614,11,0.242,1.118,-6.132,-1.622,4.497,6.122,-1.616
hc_c42h22_0pent_2346,c1ccc2cc3c(cc2c1)cc1c2ccccc2c2cc4c5ccc6ccccc6c5cc5ccc6cc3c1c2c6c54,-9.486,-7.995,1.49,0.007,-2755.307,-2744.366,-2761.861,13.167,13.144,13.099,-6.554,10.941,-2.651,11,0.294,1.069,-6.202,-1.545,4.645,6.197,-1.544
hc_c42h22_0pent_2348,c1ccc2cc3c(cc2c1)cc1ccc2cc4c5ccc6c7ccccc7ccc6c5cc5ccc6cc3c1c2c6c54,-9.423,-8.076,1.347,0.03,-2755.249,-2744.379,-2761.883,13.163,13.142,13.097,-6.634,10.87,-2.614,11,0.352,1.178,-6.104,-1.649,4.442,6.094,-1.642
hc_c42h22_0pent_2349,c1ccc2cc3c(ccc4c3cc3ccc5cc6c7cc8ccccc8cc7cc7ccc8cc4c3c5c8c76)cc2c1,-9.424,-8.082,1.343,0.034,-2755.167,-2744.316,-2761.829,13.155,13.136,13.089,-6.663,10.85,-2.601,11,0.434,1.256,-6.105,-1.657,4.436,6.066,-1.677
hc_c42h22_0pent_2351,c1ccc2c(c1)ccc1cc3cc4ccc5cc6c7ccccc7cc7c8ccccc8c8cc(c3cc12)c4c5c8c67,-9.504,-7.981,1.523,0.051,-2755.37,-2744.378,-2761.874,13.171,13.146,13.099,-6.503,10.992,-2.653,11,0.231,1.03,-6.23,-1.527,4.692,6.27,-1.482
hc_c42h22_0pent_2365,c1ccc2c(c1)ccc1c3cc4cc5ccc6cc7cc8ccccc8c8ccc9cc(c4cc3ccc21)c5c6c9c78,-9.415,-8.089,1.326,0.076,-2755.238,-2744.364,-2761.869,13.164,13.144,13.097,-6.632,10.873,-2.608,11,0.363,1.209,-6.091,-1.666,4.412,6.099,-1.639
hc_c42h22_0pent_2369,c1ccc2c(c1)ccc1cc3cc4c5ccccc5c5cc6cc7ccccc7c7ccc8cc(c3cc12)c4c5c8c67,-9.484,-8.006,1.478,0.029,-2755.311,-2744.33,-2761.828,13.17,13.144,13.099,-6.517,10.981,-2.645,11,0.29,1.078,-6.198,-1.559,4.628,6.254,-1.499
hc_c42h22_0pent_2374,c1ccc2cc3c(ccc4c3cc3cc5ccc6cc7cc8ccccc8cc7c7cc8ccc4c3c8c5c67)cc2c1,-9.418,-8.09,1.328,0.035,-2755.136,-2744.292,-2761.806,13.155,13.136,13.089,-6.67,10.844,-2.599,11,0.465,1.27,-6.096,-1.667,4.415,6.057,-1.686
hc_c42h22_0pent_2375,c1ccc2cc3c(cc2c1)cc1ccc2cc4cc5c6ccc7ccccc7c6ccc5c5ccc6cc3c1c2c6c45,-9.411,-8.092,1.32,0.056,-2755.202,-2744.34,-2761.847,13.162,13.142,13.097,-6.645,10.862,-2.612,11,0.399,1.214,-6.085,-1.67,4.403,6.083,-1.655
hc_c42h22_0pent_2378,c1ccc2c(c1)ccc1cc3cc4ccc5cc6cc7c8ccccc8ccc7c7ccc8cc(c3cc12)c4c5c8c67,-9.44,-8.069,1.371,0.036,-2755.301,-2744.387,-2761.899,13.166,13.146,13.1,-6.598,10.914,-2.616,11,0.3,1.148,-6.13,-1.64,4.476,6.158,-1.598
hc_c42h22_0pent_2379,c1ccc2c(c1)ccc1cc3c(cc4ccc5cc6cc7c8ccccc8ccc7c7ccc8cc3c4c5c8c67)cc12,-9.425,-8.077,1.348,0.032,-2755.315,-2744.438,-2761.944,13.167,13.147,13.102,-6.629,10.876,-2.612,11,0.286,1.151,-6.107,-1.651,4.443,6.103,-1.636
hc_c42h22_0pent_2424,c1ccc2c(c1)ccc1cc3ccc4c(ccc5c4cc4ccc6cc7cccc8ccc9cc5c4c6c9c87)c3cc12,-9.521,-7.982,1.539,0.069,-2755.332,-2744.338,-2761.836,13.169,13.137,13.09,-6.504,10.994,-2.61,11,0.269,1.083,-6.256,-1.528,4.714,6.273,-1.484
hc_c42h22_0pent_2426,c1ccc2c(c1)ccc1cc3c(ccc4c3ccc3c4cc4ccc5cc6cccc7ccc8cc3c4c5c8c76)cc12,-9.516,-7.983,1.533,0.087,-2755.344,-2744.38,-2761.874,13.17,13.142,13.096,-6.529,10.965,-2.605,11,0.257,1.084,-6.248,-1.53,4.706,6.231,-1.514
hc_c42h22_0pent_2428,c1ccc2cc3c(ccc4c3ccc3c4cc4c5ccccc5c5cc6cccc7ccc8cc3c4c5c8c76)cc2c1,-9.565,-7.905,1.66,0.101,-2755.297,-2744.296,-2761.781,13.171,13.144,13.095,-6.484,11.001,-2.641,11,0.304,1.037,-6.324,-1.429,4.886,6.283,-1.459
hc_c42h22_0pent_2429,c1ccc2cc3c(ccc4c3ccc3c4cc4ccc5cc6c7ccccc7cc7ccc8cc3c4c5c8c76)cc2c1,-9.466,-8.026,1.441,0.022,-2755.244,-2744.353,-2761.851,13.164,13.14,13.094,-6.607,10.892,-2.612,11,0.357,1.165,-6.17,-1.585,4.575,6.126,-1.609
hc_c42h22_0pent_2430,c1ccc2cc3c(ccc4c3ccc3c4cc4ccc5cc6cc7ccccc7c7ccc8cc3c4c5c8c67)cc2c1,-9.415,-8.091,1.324,0.065,-2755.155,-2744.29,-2761.796,13.16,13.138,13.092,-6.641,10.865,-2.61,11,0.446,1.254,-6.091,-1.669,4.409,6.087,-1.65
hc_c42h22_0pent_2431,c1ccc2cc3c(ccc4c3ccc3c4cc4ccc5cc6cccc7c8ccccc8c8cc3c4c5c8c67)cc2c1,-9.548,-7.928,1.619,0.063,-2755.29,-2744.299,-2761.786,13.17,13.141,13.095,-6.496,10.992,-2.635,11,0.311,1.053,-6.298,-1.459,4.828,6.27,-1.474
hc_c42h22_0pent_2435,c1ccc2c(c1)ccc1c2ccc2c1ccc1c2cc2ccc3cc4c5ccccc5cc5ccc6cc1c2c3c6c54,-9.474,-8.014,1.461,0.038,-2755.349,-2744.41,-2761.898,13.173,13.147,13.103,-6.549,10.939,-2.625,11,0.252,1.067,-6.183,-1.57,4.604,6.194,-1.538
hc_c42h22_0pent_2436,c1ccc2c(c1)ccc1c2ccc2c1ccc1c2cc2ccc3cc4cccc5c6ccccc6c6cc1c2c3c6c45,-9.554,-7.917,1.638,0.058,-2755.394,-2744.357,-2761.832,13.179,13.147,13.104,-6.439,11.036,-2.649,11,0.207,0.957,-6.307,-1.445,4.855,6.334,-1.405
hc_c42h22_0pent_2439,c1ccc2c(c1)ccc1c2ccc2c1ccc1c2ccc2c1cc1ccc3cc4cccc5ccc6cc2c1c3c6c54,-9.517,-7.978,1.539,0.101,-2755.348,-2744.361,-2761.846,13.174,13.144,13.1,-6.498,10.987,-2.619,11,0.253,1.041,-6.25,-1.523,4.714,6.263,-1.476
hc_c42h22_0pent_2440,c1ccc2cc3c(ccc4c3ccc3c4ccc4c3cc3ccc5cc6cccc7ccc8cc4c3c5c8c76)cc2c1,-9.512,-7.986,1.526,0.079,-2755.247,-2744.316,-2761.815,13.166,13.138,13.092,-6.568,10.932,-2.606,11,0.354,1.135,-6.242,-1.533,4.696,6.184,-1.561
hc_c42h22_0pent_2451,c1ccc2c(c1)ccc1c2ccc2c1cc1ccc3cc4c5ccc6ccccc6c5cc5ccc6cc2c1c3c6c54,-9.461,-8.028,1.433,0.025,-2755.364,-2744.442,-2761.937,13.172,13.148,13.105,-6.573,10.921,-2.63,11,0.237,1.067,-6.163,-1.588,4.564,6.168,-1.568
hc_c42h22_0pent_2456,c1ccc2c(c1)ccc1c2ccc2c1cc1c3ccccc3c3cc4c5ccccc5cc5ccc6cc2c1c3c6c54,-9.524,-7.94,1.584,0.074,-2755.386,-2744.388,-2761.862,13.177,13.152,13.105,-6.476,10.998,-2.666,11,0.215,0.976,-6.261,-1.474,4.778,6.279,-1.45
hc_c42h22_0pent_2471,c1ccc2cc3c(ccc4c3cc3ccc5cc6c7ccc8ccccc8c7cc7ccc8cc4c3c5c8c76)cc2c1,-9.448,-8.051,1.397,0.02,-2755.276,-2744.392,-2761.899,13.164,13.142,13.097,-6.623,10.884,-2.616,11,0.325,1.153,-6.142,-1.617,4.513,6.115,-1.628
hc_c42h22_0pent_2472,c1ccc2cc3c(ccc4c3cc3ccc5cc6c7ccccc7cc7c8ccccc8c8cc4c3c5c8c67)cc2c1,-9.51,-7.967,1.543,0.029,-2755.31,-2744.35,-2761.841,13.168,13.143,13.098,-6.531,10.96,-2.648,11,0.291,1.053,-6.239,-1.509,4.72,6.224,-1.516
hc_c42h22_0pent_2474,c1ccc2c(c1)ccc1cc3c(ccc4c3cc3ccc5cc6c7ccccc7cc7ccc8cc4c3c5c8c76)cc12,-9.47,-8.026,1.444,0.015,-2755.358,-2744.44,-2761.938,13.169,13.146,13.099,-6.58,10.918,-2.612,11,0.243,1.103,-6.177,-1.585,4.579,6.164,-1.576
hc_c42h22_0pent_2475,c1ccc2c(c1)ccc1cc3ccc4c(cc5ccc6cc7c8ccccc8cc8ccc9cc4c5c6c9c87)c3cc12,-9.479,-8.024,1.455,0.022,-2755.345,-2744.393,-2761.898,13.168,13.142,13.096,-6.553,10.952,-2.617,11,0.256,1.101,-6.191,-1.582,4.595,6.213,-1.543
hc_c42h22_0pent_2478,c1ccc2c(c1)ccc1cc3c(ccc4c3cc3ccc5cc6cc7ccccc7c7ccc8cc4c3c5c8c67)cc12,-9.395,-8.117,1.278,0.046,-2755.255,-2744.394,-2761.906,13.164,13.144,13.098,-6.65,10.861,-2.61,11,0.346,1.212,-6.06,-1.702,4.343,6.081,-1.661
hc_c42h22_0pent_2479,c1ccc2c(c1)ccc1cc3ccc4c(cc5ccc6cc7cc8ccccc8c8ccc9cc4c5c6c9c78)c3cc12,-9.402,-8.117,1.285,0.025,-2755.242,-2744.355,-2761.873,13.163,13.141,13.095,-6.631,10.887,-2.615,11,0.359,1.21,-6.071,-1.702,4.353,6.119,-1.638
hc_c42h22_0pent_2481,c1ccc2cc3c(ccc4c3cc3ccc5cc6cc7c8ccccc8ccc7c7ccc8cc4c3c5c8c67)cc2c1,-9.403,-8.107,1.296,0.008,-2755.211,-2744.365,-2761.88,13.162,13.142,13.097,-6.669,10.846,-2.614,11,0.39,1.218,-6.072,-1.689,4.369,6.06,-1.684
hc_c42h22_0pent_2484,c1ccc2c(c1)ccc1cc3ccc4c(cc5ccc6cc7cccc8c9ccccc9c9cc4c5c6c9c78)c3cc12,-9.549,-7.938,1.611,0.033,-2755.386,-2744.345,-2761.839,13.173,13.142,13.096,-6.453,11.041,-2.64,11,0.215,0.996,-6.3,-1.472,4.817,6.341,-1.422
hc_c42h22_0pent_2488,c1ccc2cc3c(ccc4c3cc3ccc5cc6cccc7c8cc9ccccc9cc8c8cc4c3c5c8c67)cc2c1,-9.548,-7.937,1.611,0.043,-2755.26,-2744.237,-2761.733,13.163,13.129,13.081,-6.473,11.022,-2.63,11,0.341,1.084,-6.298,-1.47,4.817,6.314,-1.446
hc_c42h22_0pent_2494,c1ccc2cc3c(ccc4cc5c(ccc6c5cc5ccc7cc8cccc9ccc%10cc6c5c7c%10c98)cc43)cc2c1,-9.505,-8.001,1.504,0.074,-2755.282,-2744.347,-2761.849,13.163,13.137,13.088,-6.567,10.935,-2.592,11,0.319,1.146,-6.231,-1.553,4.665,6.188,-1.56
hc_c42h22_0pent_2495,c1ccc2c(c1)ccc1c3cc4ccc5c(cc6ccc7cc8cccc9ccc%10cc5c6c7c%10c98)c4cc3ccc21,-9.495,-8.01,1.485,0.081,-2755.322,-2744.386,-2761.889,13.169,13.143,13.096,-6.567,10.936,-2.605,11,0.279,1.109,-6.216,-1.564,4.638,6.19,-1.56
hc_c42h22_0pent_2497,c1ccc2c(c1)ccc1cc3c(ccc4c3cc3c5ccccc5c5cc6cccc7ccc8cc4c3c5c8c76)cc12,-9.552,-7.926,1.626,0.099,-2755.401,-2744.386,-2761.874,13.174,13.148,13.1,-6.472,11.015,-2.642,11,0.2,0.988,-6.304,-1.456,4.838,6.303,-1.445
hc_c42h22_0pent_2498,c1ccc2c(c1)ccc1cc3c(ccc4c3cc3ccc5cc6cccc7c8ccccc8c8cc4c3c5c8c67)cc12,-9.539,-7.942,1.597,0.049,-2755.399,-2744.392,-2761.88,13.174,13.146,13.101,-6.481,11.007,-2.635,11,0.202,0.998,-6.284,-1.477,4.797,6.292,-1.456
hc_c42h22_0pent_2500,c1ccc2cc3cc4c(ccc5c4cc4c6ccccc6c6cc7cccc8ccc9cc5c4c6c9c87)cc3cc2c1,-9.481,-8.028,1.453,0.075,-2755.13,-2744.236,-2761.754,13.158,13.138,13.089,-6.624,10.894,-2.627,11,0.471,1.223,-6.194,-1.588,4.592,6.129,-1.63
hc_c42h22_0pent_2503,c1ccc2cc3cc4c(ccc5c4cc4ccc6cc7cccc8c9ccccc9c9cc5c4c6c9c78)cc3cc2c1,-9.471,-8.034,1.437,0.022,-2755.13,-2744.241,-2761.758,13.159,13.136,13.089,-6.628,10.889,-2.62,11,0.471,1.229,-6.178,-1.595,4.569,6.122,-1.634
hc_c42h22_0pent_2505,c1ccc2c(c1)ccc1cc3cc4c(ccc5c4cc4ccc6cc7cccc8ccc9cc5c4c6c9c87)cc3cc12,-9.463,-8.05,1.413,0.065,-2755.206,-2744.33,-2761.85,13.16,13.138,13.09,-6.644,10.876,-2.589,11,0.395,1.229,-6.166,-1.616,4.535,6.103,-1.654
hc_c42h22_0pent_2507,c1ccc2c(c1)ccc1cc3cc4ccc5c(cc6ccc7cc8cccc9ccc%10cc5c6c7c%10c98)c4cc3cc12,-9.468,-8.048,1.42,0.046,-2755.204,-2744.312,-2761.836,13.16,13.137,13.088,-6.631,10.892,-2.59,11,0.397,1.228,-6.174,-1.613,4.545,6.126,-1.638
hc_c42h22_0pent_2509,c1ccc2c(c1)ccc1c3cc4c(ccc5c4cc4ccc6cc7cccc8ccc9cc5c4c6c9c87)cc3ccc21,-9.505,-8.008,1.496,0.059,-2755.306,-2744.341,-2761.851,13.167,13.14,13.093,-6.545,10.965,-2.612,11,0.295,1.107,-6.231,-1.562,4.653,6.231,-1.534
hc_c42h22_0pent_2562,c1ccc2c(c1)ccc1c2ccc2c1ccc1c2cc2ccc3cc4cc5ccccc5c5ccc6cc1c2c3c6c45,-9.41,-8.093,1.316,0.064,-2755.254,-2744.363,-2761.863,13.169,13.145,13.101,-6.608,10.892,-2.623,11,0.347,1.163,-6.083,-1.671,4.397,6.126,-1.61
hc_c42h22_0pent_2564,c1ccc2c(c1)ccc1c2ccc2c1cc1c3ccccc3c3cc4cc5ccccc5c5ccc6cc2c1c3c6c45,-9.461,-8.016,1.445,0.086,-2755.308,-2744.356,-2761.84,13.175,13.152,13.106,-6.532,10.952,-2.661,11,0.293,1.058,-6.163,-1.572,4.581,6.213,-1.518
hc_c42h22_0pent_2565,c1ccc2c(c1)ccc1c2ccc2c1cc1ccc3cc4cc5c6ccccc6ccc5c5ccc6cc2c1c3c6c45,-9.427,-8.072,1.355,0.045,-2755.307,-2744.412,-2761.913,13.17,13.148,13.105,-6.606,10.895,-2.627,11,0.294,1.12,-6.11,-1.644,4.453,6.13,-1.608
hc_c42h22_0pent_2610,c1ccc2c(c1)ccc1c2ccc2c1cc1cc3ccc4c5ccc6ccccc6c5cc5cc6ccc2c1c6c3c54,-9.337,-8.179,1.157,0.03,-2755.19,-2744.376,-2761.893,13.165,13.147,13.104,-6.702,10.815,-2.625,11,0.411,1.254,-5.97,-1.782,4.171,6.015,-1.724
hc_c42h22_0pent_2718,c1ccc2cc3c(ccc4cc5ccc6c(cc7cc8ccc9cccc%10cc%11ccc6c7c%11c8c9%10)c5cc43)cc2c1,-9.465,-8.063,1.402,0.032,-2755.202,-2744.255,-2761.778,13.16,13.131,13.082,-6.576,10.947,-2.597,11,0.399,1.214,-6.169,-1.633,4.52,6.205,-1.571
hc_c42h22_0pent_2719,c1ccc2c(c1)ccc1c3cc4c(ccc5c4cc4cc6ccc7cccc8cc9ccc5c4c9c6c78)cc3ccc21,-9.469,-8.055,1.413,0.059,-2755.244,-2744.285,-2761.799,13.165,13.137,13.09,-6.555,10.959,-2.61,11,0.357,1.167,-6.175,-1.622,4.535,6.223,-1.546
hc_c42h22_0pent_2722,c1ccc2c(c1)ccc1cc3cc4ccc5c(cc6cc7ccc8cccc9cc%10ccc5c6c%10c7c89)c4cc3cc12,-9.46,-8.062,1.398,0.047,-2755.152,-2744.25,-2761.773,13.158,13.134,13.086,-6.62,10.902,-2.588,11,0.449,1.272,-6.161,-1.631,4.514,6.141,-1.625
hc_c42h22_0pent_2724,c1ccc2c(c1)ccc1cc3cc4c(ccc5c4cc4cc6ccc7cccc8cc9ccc5c4c9c6c78)cc3cc12,-9.454,-8.064,1.39,0.06,-2755.154,-2744.275,-2761.793,13.158,13.136,13.089,-6.64,10.879,-2.587,11,0.447,1.272,-6.152,-1.634,4.503,6.107,-1.649
hc_c42h22_0pent_2729,c1ccc2cc3cc4c(ccc5c4cc4cc6c7ccccc7c7cccc8cc9ccc5c4c9c6c87)cc3cc2c1,-9.483,-8.018,1.465,0.058,-2755.093,-2744.193,-2761.706,13.159,13.135,13.089,-6.613,10.899,-2.614,11,0.508,1.26,-6.197,-1.575,4.609,6.136,-1.616
hc_c42h22_0pent_2732,c1ccc2c(c1)ccc1cc3c(ccc4c3cc3cc5c6ccccc6c6cccc7cc8ccc4c3c8c5c76)cc12,-9.498,-7.993,1.505,0.035,-2755.346,-2744.367,-2761.86,13.173,13.147,13.102,-6.514,10.979,-2.629,11,0.255,1.053,-6.22,-1.543,4.666,6.252,-1.496
hc_c42h22_0pent_2733,c1cc2ccc3cc4cc5c6cc7c8ccccc8c8ccccc8c7cc6ccc5c5ccc6cc(c1)c2c3c6c45,-9.465,-8.06,1.405,0.05,-2755.28,-2744.285,-2761.801,13.171,13.143,13.099,-6.521,10.995,-2.632,11,0.321,1.095,-6.169,-1.629,4.524,6.275,-1.504
hc_c42h22_0pent_2734,c1ccc2c(c1)ccc1c3cc4ccc5c(cc6cc7ccc8cccc9cc%10ccc5c6c%10c7c89)c4cc3ccc21,-9.459,-8.056,1.402,0.079,-2755.259,-2744.338,-2761.844,13.167,13.142,13.096,-6.585,10.922,-2.603,11,0.342,1.168,-6.16,-1.624,4.52,6.169,-1.582
hc_c42h22_0pent_2735,c1ccc2cc3c(ccc4cc5c(ccc6c5cc5cc7ccc8cccc9cc%10ccc6c5c%10c7c89)cc43)cc2c1,-9.453,-8.064,1.389,0.067,-2755.213,-2744.32,-2761.832,13.16,13.137,13.089,-6.619,10.893,-2.59,11,0.388,1.216,-6.15,-1.634,4.501,6.128,-1.623
hc_c42h22_0pent_2745,c1ccc2cc3c(ccc4c3cc3cc5ccc6cc7c8ccccc8ccc7c7cc8ccc4c3c8c5c67)cc2c1,-9.426,-8.079,1.347,0.028,-2755.23,-2744.359,-2761.869,13.163,13.142,13.097,-6.639,10.871,-2.614,11,0.371,1.19,-6.108,-1.653,4.442,6.096,-1.648
hc_c42h22_0pent_2747,c1ccc2c(c1)ccc1cc3ccc4c(cc5cc6ccc7cc8ccccc8c8cc9ccc4c5c9c6c78)c3cc12,-9.457,-8.053,1.404,0.037,-2755.302,-2744.362,-2761.871,13.167,13.142,13.097,-6.57,10.94,-2.615,11,0.299,1.136,-6.156,-1.62,4.523,6.195,-1.564
hc_c42h22_0pent_2748,c1ccc2c(c1)ccc1cc3c(ccc4c3cc3cc5ccc6cc7ccccc7c7cc8ccc4c3c8c5c67)cc12,-9.448,-8.054,1.394,0.032,-2755.314,-2744.412,-2761.914,13.167,13.146,13.1,-6.6,10.902,-2.61,11,0.287,1.137,-6.142,-1.621,4.508,6.141,-1.6
hc_c42h22_0pent_2755,c1ccc2cc3c(ccc4c3cc3cc5ccc6c7ccc8ccccc8c7cc7cc8ccc4c3c8c5c76)cc2c1,-9.365,-8.154,1.211,0.016,-2755.14,-2744.314,-2761.835,13.159,13.141,13.097,-6.695,10.825,-2.612,11,0.461,1.286,-6.013,-1.75,4.248,6.029,-1.716
hc_c42h22_0pent_2757,c1ccc2c(c1)ccc1cc3ccc4c(cc5cc6c7ccccc7c7cccc8cc9ccc4c5c9c6c87)c3cc12,-9.508,-7.991,1.517,0.04,-2755.334,-2744.312,-2761.812,13.173,13.141,13.098,-6.478,11.022,-2.635,11,0.267,1.051,-6.236,-1.54,4.683,6.314,-1.452
hc_c42h22_0pent_2772,c1ccc2c(c1)ccc1c2ccc2c1cc1cc3ccc4cc5c6ccccc6ccc5c5cc6ccc2c1c6c3c45,-9.407,-8.095,1.312,0.029,-2755.289,-2744.416,-2761.921,13.169,13.148,13.105,-6.632,10.873,-2.627,11,0.312,1.144,-6.079,-1.674,4.392,6.099,-1.639
hc_c42h22_0pent_2788,c1ccc2cc3c(ccc4c3ccc3c4ccc4c3cc3cc5ccc6cccc7cc8ccc4c3c8c5c67)cc2c1,-9.445,-8.069,1.376,0.081,-2755.161,-2744.264,-2761.77,13.162,13.135,13.089,-6.609,10.897,-2.604,11,0.44,1.227,-6.138,-1.64,4.483,6.133,-1.611
hc_c42h22_0pent_2789,c1ccc2c(c1)ccc1c2ccc2c1ccc1c2ccc2c1cc1cc3ccc4cccc5cc6ccc2c1c6c3c45,-9.438,-8.074,1.364,0.101,-2755.256,-2744.331,-2761.831,13.171,13.144,13.099,-6.575,10.925,-2.617,11,0.345,1.141,-6.127,-1.647,4.466,6.174,-1.57
hc_c42h22_0pent_2793,c1ccc2c(c1)ccc1c2ccc2c1ccc1c2cc2cc3ccc4cc5ccccc5c5cc6ccc1c2c6c3c45,-9.439,-8.059,1.38,0.038,-2755.291,-2744.379,-2761.874,13.171,13.147,13.103,-6.584,10.911,-2.623,11,0.31,1.119,-6.128,-1.627,4.488,6.153,-1.581
hc_c42h22_0pent_2794,c1ccc2c(c1)ccc1c2ccc2c1ccc1c2cc2cc3c4ccccc4c4cccc5cc6ccc1c2c6c3c54,-9.482,-8.006,1.476,0.053,-2755.319,-2744.338,-2761.825,13.177,13.148,13.105,-6.505,10.982,-2.642,11,0.282,1.04,-6.195,-1.559,4.625,6.256,-1.485
hc_c42h22_0pent_2798,c1ccc2cc3c(ccc4c3ccc3c4cc4cc5ccc6cc7ccccc7c7cc8ccc3c4c8c5c67)cc2c1,-9.42,-8.083,1.337,0.045,-2755.178,-2744.325,-2761.834,13.161,13.14,13.094,-6.656,10.853,-2.61,11,0.423,1.23,-6.099,-1.658,4.427,6.07,-1.668
